datetime,temperature,Componente
2024-09-11T00:07:07.000Z,73.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T01:07:07.000Z,73.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T02:07:07.000Z,71.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T03:07:07.000Z,71.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T04:07:07.000Z,74.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T05:07:07.000Z,74.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T06:07:07.000Z,62.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T07:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T08:07:07.000Z,70.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T09:07:07.000Z,70.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T10:07:07.000Z,66.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T11:07:07.000Z,64.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T12:07:07.000Z,66.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T13:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T14:07:07.000Z,68.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T15:07:07.000Z,68.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T16:07:07.000Z,64.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T17:07:07.000Z,61.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T18:07:07.000Z,64.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T19:07:07.000Z,66.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T20:07:07.000Z,68.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T21:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T22:07:07.000Z,65.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-11T23:07:07.000Z,60.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T00:07:07.000Z,64.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T01:07:07.000Z,68.0,EM3401 102B0450 Redutor de Giro Frontal
2024-09-12T02:07:07.000Z,67.0,EM3401 102B0450 Redutor de Giro Frontal
